                           1                            2                            3                            4 
              version_number             initial_don_mass             initial_acc_mass          initial_period_days 
                        7184      7.5407198873919171E-034      1.0054293183189223E-033      0.0000000000000000E+000 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2                    xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot 
                            1011          2.1032345460596306E+009          5.5393865423445980E+000          1.9997877781147174E+001          1.0441119711275431E+002          7.8308397834565724E+001          7.0853119928248187E+000          8.0802286512012813E+000         -6.7523429364981480E-001         -1.0000000000000000E+000          1.5000000000000000E+000          2.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          4.3360816774413318E+052         -7.4087570064867403E+033         -7.3337199008341363E+033         -7.5037105652603447E+031          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000 
                            1012          2.1040311889291658E+009          5.5393150137141287E+000          1.9997705629245811E+001          1.0441164652799613E+002          7.8308734895997077E+001          7.0852509988561234E+000          8.0801590924840543E+000         -6.7501512289910481E-001         -1.0000000000000000E+000          1.5000000000000000E+000          2.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          4.3360630138031226E+052         -7.4237117050595777E+033         -7.3486723395817046E+033         -7.5039365477872696E+031          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000 
                            1013          2.1049871603726079E+009          5.5392289748870169E+000          1.9997498553871917E+001          1.0441218712122868E+002          7.8309140340921502E+001          7.0851776313895281E+000          8.0800754227873259E+000         -6.7475446887870150E-001         -1.0000000000000000E+000          1.5000000000000000E+000          2.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          4.3360405638728431E+052         -7.4414666782948242E+033         -7.3664250518535974E+033         -7.5041626441226449E+031          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000 
                            1014          2.1061343261047385E+009          5.5391254348866905E+000          1.9997249355837710E+001          1.0441283769147098E+002          7.8309628268603220E+001          7.0850893397298016E+000          8.0799747332482763E+000         -6.7444332084511893E-001         -1.0000000000000000E+000          1.5000000000000000E+000          2.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          4.3360135470900154E+052         -7.4626990916047473E+033         -7.3876547454154066E+033         -7.5044346189340193E+031          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000 
                            1015          2.1070998362895327E+009          5.5390380825946801E+000          1.9997039116853607E+001          1.0441338656250878E+002          7.8310039921881582E+001          7.0850148513860010E+000          8.0798897852812175E+000         -6.7418331170682222E-001         -1.0000000000000000E+000          1.5000000000000000E+000          2.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          4.3359907539182411E+052         -7.4805988857485600E+033         -7.4055512663999552E+033         -7.5047619348604583E+031          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000 
                            1016          2.1079858958687470E+009          5.5389577440412605E+000          1.9996845757518777E+001          1.0441389137347782E+002          7.8310418530108365E+001          7.0849463435558713E+000          8.0798116576091559E+000         -6.7394577878491591E-001         -1.0000000000000000E+000          1.5000000000000000E+000          2.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          4.3359697906568830E+052         -7.4969460907995321E+033         -7.4218957098671358E+033         -7.5050380932396673E+031          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000 
                            1017          2.1088308314397478E+009          5.5388809763120612E+000          1.9996660991592655E+001          1.0441437375613117E+002          7.8310780317098391E+001          7.0848808803979022E+000          8.0797370021408899E+000         -6.7372042331411042E-001         -1.0000000000000000E+000          1.5000000000000000E+000          2.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          4.3359497589645286E+052         -7.5124658696272926E+033         -7.4374129487175622E+033         -7.5052920909730940E+031          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000 
                            1018          2.1096539294191554E+009          5.5388060435023840E+000          1.9996480641159991E+001          1.0441484461736323E+002          7.8311133463022429E+001          7.0848169816633737E+000          8.0796641307717803E+000         -6.7350206102319943E-001         -1.0000000000000000E+000          1.5000000000000000E+000          2.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          4.3359302058956791E+052         -7.5275189598188092E+033         -7.4524636117119005E+033         -7.5055348106908291E+031          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000 
                            1019          2.1104650496039655E+009          5.5387320560685520E+000          1.9996302565287017E+001          1.0441530954639575E+002          7.8311482159796810E+001          7.0847538888126094E+000          8.0795921784483049E+000         -6.7328682326389722E-001         -1.0000000000000000E+000          1.5000000000000000E+000          2.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          4.3359108993414544E+052         -7.5423733140325067E+033         -7.4673155966356846E+033         -7.5057717396821917E+031          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000 
                            1020          2.1112692858050537E+009          5.5386585543105102E+000          1.9996125657572549E+001          1.0441577143169364E+002          7.8311828573770228E+001          7.0846912098441388E+000          8.0795206981243073E+000         -6.7307418794521323E-001         -1.0000000000000000E+000          1.5000000000000000E+000          2.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          4.3358917193510190E+052         -7.5570662977881452E+033         -7.4820062408882818E+033         -7.5060056899863891E+031          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000 
